file_id,cohort,U,T,dm_per_utt,dm_per_1k,disf_per_utt,disf_per_1k,pron1_per_1k,pron2_per_1k,pron3_per_1k,msv_per_1k
td_Providence_011018,TD,498,1973,0.002,0.51,0.0261,6.59,4.05,2.03,59.3,11.66
td_Providence_011023,TD,445,1412,0.009,2.83,0.2539,80.03,19.83,24.08,26.2,6.37
td_Providence_011027,TD,610,1691,0.0082,2.96,0.3295,118.86,7.1,11.24,27.79,5.32
td_Providence_011103,TD,583,809,0.0051,3.71,0.3293,237.33,1.24,0.0,2.47,1.24
td_Providence_011107,TD,462,1875,0.0108,2.67,0.1861,45.87,25.6,5.33,39.47,17.6
td_Providence_011110,TD,263,850,0.0076,2.35,0.0722,22.35,30.59,22.35,41.18,8.24
td_Providence_011115,TD,419,764,0.0024,1.31,0.2506,137.43,30.1,3.93,14.4,15.71
td_Providence_011117,TD,407,619,0.0025,1.62,0.2236,147.01,17.77,8.08,9.69,0.0
td_Providence_011121,TD,452,1296,0.0066,2.31,0.1615,56.33,13.89,10.03,48.61,0.77
td_Providence_011122,TD,354,1150,0.0028,0.87,0.0932,28.7,24.35,10.43,64.35,14.78
td_Providence_011126,TD,484,1763,0.0,0.0,0.2996,82.25,6.24,2.84,48.21,3.97
td_Providence_011128,TD,360,652,0.0139,7.67,0.2306,127.3,24.54,6.13,15.34,10.74
td_Providence_020012,TD,425,1366,0.0047,1.46,0.3835,119.33,14.64,9.52,39.53,12.45
td_Providence_020013,TD,446,1157,0.0022,0.86,0.1637,63.09,38.03,11.24,7.78,1.73
td_Providence_020017,TD,391,1303,0.0128,3.84,0.1304,39.14,29.16,3.84,52.95,19.19
td_Providence_020023,TD,505,1274,0.0376,14.91,0.0752,29.83,16.48,0.78,20.41,7.06
td_Providence_020025,TD,360,1140,0.0056,1.75,0.0194,6.14,10.53,7.02,28.07,5.26
td_Providence_020027,TD,286,905,0.0035,1.1,0.2098,66.3,67.4,27.62,15.47,7.73
td_Providence_020028,TD,437,725,0.032,19.31,0.2426,146.21,17.93,1.38,37.24,11.03
td_Providence_020100,TD,537,1809,0.0149,4.42,0.0875,25.98,21.01,16.03,50.86,13.27
td_Providence_020101,TD,426,1095,0.0235,9.13,0.0141,5.48,52.97,3.65,16.44,21.92
td_Providence_020102,TD,400,726,0.0,0.0,0.06,33.06,11.02,0.0,4.13,6.89
td_Providence_020108,TD,431,988,0.0534,23.28,0.2297,100.2,21.26,0.0,20.24,11.13
td_Providence_020110,TD,585,2114,0.0068,1.89,0.1197,33.11,21.76,15.14,31.22,17.5
td_Providence_020115,TD,495,1496,0.0283,9.36,0.1232,40.78,44.79,12.7,25.4,10.7
td_Providence_020119,TD,441,1249,0.0091,3.2,0.2018,71.26,55.24,8.81,33.63,8.01
td_Providence_020122,TD,510,1638,0.0196,6.11,0.7608,236.87,17.7,7.94,74.48,3.66
td_Providence_020123,TD,443,1115,0.0248,9.87,0.0564,22.42,43.95,1.79,7.17,15.25
td_Providence_020124,TD,247,1447,0.0243,4.15,0.0567,9.68,22.11,13.82,50.45,12.44
td_Providence_020127,TD,599,1175,0.0184,9.36,0.1352,68.94,23.83,5.11,45.11,0.85
td_Providence_020202,TD,657,2747,0.0015,0.36,0.2892,69.17,62.25,28.39,43.68,47.69
td_Providence_020208,TD,322,785,0.0093,3.82,0.1553,63.69,14.01,5.1,48.41,3.82
td_Providence_020209,TD,479,994,0.0084,4.02,0.2902,139.84,35.21,2.01,23.14,6.04
td_Providence_020215a,TD,391,1207,0.0256,8.29,0.0921,29.83,45.57,17.4,25.68,8.29
td_Providence_020215b,TD,451,1378,0.0377,12.34,0.0599,19.59,36.28,11.61,24.67,7.26
td_Providence_020217,TD,545,2183,0.0147,3.66,0.1706,42.6,34.81,13.28,56.8,34.81
td_Providence_020221,TD,458,642,0.0175,12.46,0.5677,404.98,10.9,0.0,10.9,4.67
td_Providence_020222,TD,481,1181,0.0083,3.39,0.4116,167.65,14.39,22.86,53.34,0.85
td_Providence_020300,TD,565,1167,0.0,0.0,0.0956,46.27,5.14,0.86,1.71,0.0
td_Providence_020305,TD,392,969,0.0051,2.06,0.2168,87.72,21.67,20.64,14.45,5.16
td_Providence_020306,TD,223,1156,0.0179,3.46,0.0179,3.46,49.31,50.17,59.69,29.41
td_Providence_020307,TD,547,1103,0.0402,19.95,0.1097,54.4,57.12,9.07,21.76,1.81
td_Providence_020312,TD,279,824,0.0573,19.42,0.1183,40.05,43.69,19.42,42.48,8.5
td_Providence_020314,TD,567,908,0.0,0.0,0.0741,46.26,0.0,0.0,0.0,0.0
td_Providence_020316,TD,417,1384,0.0096,2.89,0.2014,60.69,22.4,16.62,36.85,8.67
td_Providence_020317,TD,467,1708,0.0385,10.54,0.1135,31.03,42.15,11.71,46.84,7.61
td_Providence_020319,TD,425,1101,0.0212,8.17,0.5765,222.52,22.71,8.17,31.79,4.54
td_Providence_020324,TD,591,2617,0.0169,3.82,0.1827,41.27,20.63,27.51,35.92,6.5
td_Providence_020402,TD,466,1651,0.0193,5.45,0.5665,159.9,18.78,9.09,58.15,4.85
td_Providence_020403,TD,561,1453,0.0089,3.44,0.0891,34.41,30.97,13.08,41.29,10.32
td_Providence_020409,TD,479,1658,0.0271,7.84,0.0626,18.09,48.25,15.68,51.87,5.43
td_Providence_020411,TD,439,1699,0.0023,0.59,0.3713,95.94,4.71,3.53,45.91,9.42
td_Providence_020416,TD,239,937,0.0084,2.13,0.0377,9.61,13.87,42.69,40.55,12.81
td_Providence_020419,TD,467,1323,0.0107,3.78,0.3555,125.47,18.14,22.68,65.0,6.8
td_Providence_020424,TD,743,2564,0.0054,1.56,0.2423,70.2,33.15,9.75,43.29,8.19
td_Providence_020427,TD,442,1762,0.0158,3.97,0.0679,17.03,27.81,5.68,22.13,9.65
td_Providence_020428,TD,479,1595,0.0104,3.13,0.2589,77.74,51.41,10.03,52.66,3.13
td_Providence_020500,TD,482,1437,0.0145,4.87,0.3216,107.86,22.96,17.4,50.8,11.13
td_Providence_020501,TD,564,1630,0.0248,8.59,0.1241,42.94,34.97,10.43,38.04,1.84
td_Providence_020506,TD,353,1408,0.0283,7.1,0.6459,161.93,45.45,12.07,47.59,7.1
td_Providence_020507,TD,223,893,0.0224,5.6,0.3991,99.66,71.67,2.24,30.24,19.04
td_Providence_020514,TD,503,2145,0.004,0.93,0.3698,86.71,62.0,3.73,39.63,10.26
td_Providence_020515,TD,536,1395,0.0075,2.87,0.5187,199.28,12.9,12.19,33.69,2.15
td_Providence_020516,TD,477,1111,0.0252,10.8,0.0482,20.7,30.6,11.7,22.5,12.6
td_Providence_020519,TD,747,3052,0.008,1.97,0.3119,76.34,62.58,5.24,30.8,10.48
td_Providence_020523,TD,674,1427,0.0119,5.61,0.1706,80.59,7.71,2.1,12.61,2.8
td_Providence_020527,TD,436,1394,0.0206,6.46,0.3739,116.93,45.19,11.48,19.37,10.04
td_Providence_020611,TD,519,1670,0.0077,2.4,0.4258,132.34,3.59,11.98,38.32,0.6
td_Providence_020612,TD,446,1413,0.0135,4.25,0.2063,65.11,30.43,13.45,48.83,7.08
td_Providence_020616,TD,394,1376,0.0381,10.9,0.4315,123.55,46.51,23.26,27.62,4.36
td_Providence_020618,TD,214,645,0.0467,15.5,0.486,161.24,41.86,29.46,58.91,7.75
td_Providence_020620,TD,645,1726,0.0078,2.9,0.4264,159.33,13.33,4.06,18.54,2.32
td_Providence_020625,TD,519,1928,0.0328,8.82,0.4528,121.89,36.83,12.97,53.94,7.26
td_Providence_020626,TD,413,1111,0.0073,2.7,0.4818,179.12,7.2,3.6,18.0,3.6
td_Providence_020700,TD,699,2987,0.0758,17.74,0.2361,55.24,45.2,22.77,41.51,6.36
td_Providence_020701,TD,365,1283,0.0055,1.56,0.4137,117.69,54.56,23.38,28.84,14.03
td_Providence_020703,TD,449,1538,0.0401,11.7,0.1002,29.26,27.96,13.0,47.46,14.95
td_Providence_020705,TD,433,1051,0.0508,20.93,0.3326,137.01,6.66,0.95,20.93,0.0
td_Providence_020707,TD,445,1635,0.0697,18.96,0.2697,73.39,49.54,23.24,20.18,5.5
td_Providence_020708,TD,426,1163,0.0094,3.44,0.2324,85.12,62.77,8.6,61.91,12.9
td_Providence_020709,TD,469,1414,0.0256,8.49,0.339,112.45,12.02,9.9,28.29,2.83
td_Providence_020713,TD,592,2178,0.0338,9.18,0.2078,56.47,30.76,11.02,40.86,4.59
td_Providence_020716,TD,465,1498,0.0237,7.34,0.1634,50.73,68.09,21.36,38.72,9.35
td_Providence_020720,TD,429,1246,0.0396,13.64,0.2028,69.82,41.73,7.22,33.71,8.83
td_Providence_020725,TD,440,1457,0.0386,11.67,0.2977,89.91,25.39,19.9,51.48,4.8
td_Providence_020726,TD,589,1439,0.0085,3.47,0.365,149.41,28.49,10.42,39.61,12.51
td_Providence_020727,TD,447,1706,0.0738,19.34,0.2125,55.69,28.72,17.0,35.17,9.96
td_Providence_020806,TD,622,2064,0.0305,9.21,0.254,76.55,67.83,18.41,48.93,13.57
td_Providence_020807,TD,403,1015,0.0199,7.88,0.2854,113.3,30.54,5.91,24.63,6.9
td_Providence_020808,TD,481,1522,0.0208,6.57,0.1414,44.68,22.34,5.26,38.76,6.57
td_Providence_020810,TD,571,1563,0.0193,7.04,0.2154,78.69,13.44,8.32,26.87,0.0
td_Providence_020811,TD,383,1303,0.0261,7.67,0.1384,40.68,39.14,13.05,35.3,12.28
td_Providence_020813,TD,514,1661,0.0272,8.43,0.1732,53.58,54.79,24.68,51.17,13.85
td_Providence_020816,TD,700,1473,0.0086,4.07,0.3157,150.03,10.18,32.59,8.83,6.79
td_Providence_020819,TD,434,1485,0.0046,1.35,0.3502,102.36,30.3,10.77,49.83,9.43
td_Providence_020822,TD,371,1103,0.0404,13.6,0.2264,76.16,88.85,19.04,26.29,16.32
td_Providence_020828,TD,536,1188,0.0541,24.41,0.3657,164.98,14.31,6.73,9.26,7.58
td_Providence_020900,TD,631,2305,0.0745,20.39,0.1569,42.95,11.71,6.07,69.41,1.3
td_Providence_020904,TD,458,1276,0.0218,7.84,0.1572,56.43,44.67,11.76,31.35,14.89
td_Providence_020905,TD,697,1752,0.0201,7.99,0.1894,75.34,39.38,8.56,71.35,5.71
td_Providence_020907,TD,581,1893,0.0688,21.13,0.2083,63.92,17.43,2.64,54.94,3.17
td_Providence_020908,TD,512,1424,0.0684,24.58,0.2617,94.1,51.26,12.64,44.24,2.11
td_Providence_020909,TD,420,1208,0.0048,1.66,0.1905,66.23,34.77,14.9,29.8,6.62
td_Providence_020917,TD,627,2622,0.0255,6.1,0.3652,87.34,47.29,21.36,25.17,8.39
td_Providence_020920,TD,537,1903,0.0484,13.66,0.1788,50.45,10.51,12.61,55.7,0.53
td_Providence_020926,TD,791,1896,0.024,10.02,0.2162,90.19,9.49,5.27,15.82,0.0
td_Providence_021001,TD,564,2524,0.0106,2.38,0.3688,82.41,40.02,7.13,39.22,11.49
td_Providence_021002,TD,486,1665,0.0514,15.02,0.428,124.92,90.69,16.22,24.02,20.42
td_Providence_021008,TD,479,1862,0.023,5.91,0.1733,44.58,28.46,13.43,51.56,4.3
td_Providence_021008a,TD,274,1778,0.0292,4.5,0.6788,104.61,25.87,11.81,40.49,3.94
td_Providence_021008b,TD,418,2468,0.0431,7.29,0.5311,89.95,53.89,19.45,36.47,13.78
td_Providence_021011,TD,611,1652,0.0098,3.63,0.239,88.38,24.21,4.84,24.82,0.0
td_Providence_021016,TD,303,793,0.0198,7.57,0.3927,150.06,20.18,20.18,21.44,5.04
td_Providence_021018,TD,550,1953,0.0182,5.12,0.3164,89.09,6.14,4.1,36.35,1.02
td_Providence_021025,TD,337,1017,0.0326,10.82,0.2136,70.8,40.31,18.68,50.15,7.87
td_Providence_021027,TD,421,3337,0.0879,11.09,0.5487,69.22,38.36,15.88,36.86,3.0
td_Providence_021028,TD,368,1142,0.0299,9.63,0.3533,113.84,45.53,10.51,9.63,15.76
td_Providence_021100,TD,373,812,0.0617,28.33,0.2225,102.22,49.26,7.39,20.94,16.01
td_Providence_021101,TD,521,1726,0.0077,2.32,0.3205,96.76,6.95,11.59,31.87,2.9
td_Providence_021114,TD,482,2820,0.0332,5.67,0.1037,17.73,27.3,15.96,43.26,2.13
td_Providence_021122,TD,661,1304,0.0076,3.83,0.4009,203.22,19.17,9.2,21.47,3.07
td_Providence_021123,TD,477,2316,0.0189,3.89,0.2369,48.79,44.47,22.02,32.82,3.45
td_Providence_021125,TD,616,1779,0.0179,6.18,0.0406,14.05,34.29,19.11,39.91,8.43
td_Providence_021126,TD,290,883,0.031,10.19,0.4345,142.7,16.99,12.46,40.77,0.0
td_Providence_030000,TD,626,2959,0.016,3.38,0.2396,50.69,20.95,10.14,26.02,8.79
td_Providence_030003,TD,491,1434,0.002,0.7,0.1039,35.56,29.29,11.85,53.0,8.37
td_Providence_030006,TD,784,2379,0.0166,5.46,0.611,201.35,20.6,5.04,54.22,1.68
td_Providence_030010,TD,646,1998,0.0046,1.5,0.1223,39.54,31.53,15.52,32.53,3.0
td_Providence_030011,TD,572,1741,0.0367,12.06,0.1713,56.29,43.65,22.4,39.06,10.91
td_Providence_030025,TD,442,1230,0.0158,5.69,0.0747,26.83,34.96,21.95,29.27,7.32
td_Providence_030028,TD,596,1895,0.0587,18.47,0.1141,35.88,71.77,17.94,33.77,21.64
td_Providence_030100,TD,497,1549,0.0262,8.39,0.1207,38.73,16.79,20.66,54.23,5.16
td_Providence_030103,TD,556,1364,0.0054,2.2,0.295,120.23,14.66,0.0,19.06,0.73
td_Providence_030119,TD,374,982,0.016,6.11,0.2139,81.47,35.64,6.11,27.49,10.18
td_Providence_030121,TD,629,2093,0.0175,5.26,0.0906,27.23,61.16,13.38,47.3,8.12
td_Providence_030125,TD,661,1618,0.0348,14.22,0.2405,98.27,45.74,25.96,32.76,24.1
td_Providence_030219,TD,515,2453,0.0757,15.9,0.0893,18.75,70.93,8.56,37.91,36.69
td_Providence_030301,TD,722,1645,0.0194,8.51,0.5679,249.24,15.2,4.86,6.08,0.0
td_Providence_030305,TD,610,2145,0.0393,11.19,0.1607,45.69,78.79,18.65,30.3,26.57
td_Providence_030313,TD,479,1374,0.0146,5.09,0.2944,102.62,32.75,5.82,31.3,6.55
td_Providence_030323,TD,603,1809,0.0431,14.37,0.0912,30.4,50.3,43.67,53.62,12.16
td_Providence_030325,TD,456,1926,0.0417,9.87,0.1316,31.15,51.92,33.23,58.15,16.61
td_Providence_030327,TD,686,1904,0.019,6.83,0.309,111.34,17.86,21.53,13.66,3.68
td_Providence_030400,TD,427,978,0.0187,8.18,0.6347,277.1,46.01,23.52,15.34,20.45
td_Providence_030418,TD,805,2608,0.0224,6.9,0.1776,54.83,51.0,22.62,36.81,8.44
td_Providence_030420,TD,668,2039,0.0374,12.26,0.1751,57.38,41.69,38.74,33.35,9.32
td_Providence_030528,TD,546,1652,0.0458,15.13,0.0513,16.95,42.98,12.11,52.06,9.08
td_Providence_030600,TD,455,1159,0.0154,6.04,0.4967,195.0,40.55,10.35,27.61,11.22
td_Providence_030621,TD,258,745,0.0969,33.56,0.2636,91.28,25.5,9.4,24.16,14.77
td_Providence_030623,TD,467,2549,0.0364,6.67,0.1435,26.28,24.72,19.62,29.82,10.98
td_Providence_030722,TD,316,1039,0.0316,9.62,0.6519,198.27,63.52,22.14,16.36,8.66
td_Providence_030725,TD,701,2709,0.0556,14.4,0.1912,49.46,52.05,22.89,34.33,17.72
td_Providence_030823,TD,317,1212,0.0473,12.38,0.2618,68.48,59.41,25.58,28.88,6.6
td_Providence_030927a,TD,544,1638,0.0294,9.77,0.4191,139.19,45.79,20.76,44.57,15.87
td_Providence_030927b,TD,455,1402,0.0286,9.27,0.2484,80.6,64.19,15.69,52.78,4.99
td_Providence_031018,TD,278,955,0.0468,13.61,0.3094,90.05,64.92,16.75,33.51,12.57
td_Providence_031025,TD,596,2138,0.0537,14.97,0.2466,68.76,64.55,35.55,44.9,20.58
td_Providence_031124,TD,254,888,0.0394,11.26,0.5,143.02,63.06,14.64,25.9,13.51
td_Providence_040002,TD,531,1603,0.032,10.61,0.3729,123.52,41.17,19.96,36.18,16.22
td_Sachs_010616,TD,563,926,0.0071,4.32,0.0782,47.52,1.08,2.16,9.72,0.0
td_Sachs_010800,TD,201,314,0.0,0.0,0.0647,41.4,9.55,0.0,0.0,3.18
td_Sachs_010806,TD,172,256,0.0,0.0,0.0116,7.81,0.0,0.0,3.91,0.0
td_Sachs_011003,TD,192,295,0.0,0.0,0.0417,27.12,16.95,3.39,40.68,16.95
td_Sachs_011010a,TD,183,312,0.0,0.0,0.0219,12.82,19.23,0.0,3.21,3.21
td_Sachs_011010b,TD,250,401,0.012,7.48,0.068,42.39,0.0,0.0,4.99,0.0
td_Sachs_011011,TD,247,448,0.0081,4.46,0.0891,49.11,46.88,2.23,58.04,0.0
td_Sachs_011018,TD,465,887,0.0043,2.25,0.0473,24.8,67.64,1.13,56.37,24.8
td_Sachs_011102,TD,172,361,0.0,0.0,0.0756,36.01,47.09,0.0,44.32,5.54
td_Sachs_011106,TD,248,636,0.0,0.0,0.0161,6.29,40.88,3.14,48.74,22.01
td_Sachs_011121,TD,218,510,0.0092,3.92,0.0596,25.49,35.29,25.49,29.41,31.37
td_Sachs_020018,TD,632,1430,0.0095,4.2,0.2468,109.09,43.36,3.5,34.27,5.59
td_Sachs_020109,TD,216,501,0.0,0.0,0.1991,85.83,61.88,19.96,17.96,11.98
td_Sachs_020225,TD,232,612,0.0,0.0,0.0948,35.95,102.94,0.0,32.68,44.12
td_Sachs_020405,TD,228,664,0.0702,24.1,0.1184,40.66,76.81,13.55,63.25,7.53
td_Sachs_020430,TD,222,700,0.0541,17.14,0.3198,101.43,50.0,17.14,42.86,8.57
td_Sachs_020508,TD,446,1487,0.0336,10.09,0.1547,46.4,51.11,22.86,49.09,10.76
td_Sachs_020716,TD,514,1570,0.0019,0.64,0.1848,60.51,9.55,4.46,35.67,0.0
td_Sachs_020814,TD,434,1265,0.0184,6.32,0.1221,41.9,67.98,23.72,35.57,19.76
td_Sachs_020823,TD,248,739,0.0645,21.65,0.1008,33.83,54.13,23.0,31.12,9.47
td_Sachs_020909,TD,201,710,0.0448,12.68,0.0547,15.49,85.92,14.08,45.07,1.41
td_Sachs_021108,TD,181,493,0.0884,32.45,0.1436,52.74,75.05,14.2,10.14,12.17
td_Sachs_021112,TD,394,1386,0.0406,11.54,0.0635,18.04,77.2,15.87,36.8,20.2
td_Sachs_021113,TD,331,1209,0.0242,6.62,0.142,38.88,47.15,29.78,17.37,10.75
td_Sachs_030210,TD,270,829,0.0333,10.86,0.0815,26.54,92.88,10.86,36.19,37.39
td_Sachs_030327,TD,341,1337,0.0176,4.49,0.085,21.69,47.87,9.72,35.15,19.45
td_Sachs_030400,TD,283,1104,0.0848,21.74,0.0459,11.78,77.9,19.93,37.14,9.96
td_Sachs_030418,TD,193,683,0.1192,33.67,0.1554,43.92,77.6,5.86,33.67,20.5
td_Sachs_030507,TD,478,1584,0.0941,28.41,0.1464,44.19,32.83,42.3,69.44,15.15
td_Sachs_030819,TD,195,543,0.1128,40.52,0.0051,1.84,84.71,23.94,36.83,23.94
