file_id,n_child,n_adult,chi_ratio,mlu_child,mlu_adult,ttr_child,ttr_adult,avg_chars_child,avg_chars_adult
asd_Flusberg_030400,181,378,0.324,1.293,2.728,0.303,0.21,7.9,14.5
asd_Flusberg_030806,204,478,0.299,1.534,2.713,0.307,0.175,8.6,14.6
asd_Flusberg_030900,124,153,0.448,1.879,2.922,0.442,0.309,10.8,16.0
asd_Flusberg_040028,274,373,0.423,2.507,2.815,0.261,0.194,13.7,14.9
asd_Flusberg_040029,309,720,0.3,2.006,3.222,0.302,0.166,10.8,17.0
asd_Flusberg_040306,218,571,0.276,1.578,2.905,0.331,0.16,8.4,15.9
asd_Flusberg_040521,229,466,0.329,1.725,3.369,0.309,0.19,10.3,18.4
asd_Flusberg_040700,301,649,0.317,1.508,3.02,0.368,0.173,8.6,16.3
asd_Flusberg_040715,220,499,0.306,1.559,3.13,0.367,0.182,8.9,16.8
asd_Flusberg_041007,391,515,0.432,3.026,3.272,0.233,0.155,16.1,17.5
asd_Flusberg_050006,315,469,0.402,2.702,3.804,0.291,0.167,14.9,20.2
asd_Flusberg_050218,319,506,0.387,2.451,3.65,0.279,0.149,14.0,19.4
asd_Flusberg_050620,325,461,0.413,2.615,3.879,0.255,0.166,14.3,20.6
asd_Flusberg_050904,146,318,0.315,1.356,3.437,0.404,0.19,7.9,18.4
asd_Flusberg_051002,335,550,0.379,2.931,3.82,0.196,0.178,15.5,19.8
asd_Flusberg_051104,154,426,0.266,1.279,3.221,0.386,0.161,7.4,17.2
asd_Flusberg_060011,538,772,0.411,2.916,3.666,0.161,0.145,15.1,19.4
asd_Flusberg_060107,300,695,0.302,2.213,3.565,0.242,0.142,12.5,18.7
asd_Flusberg_060207,407,818,0.332,3.464,3.693,0.222,0.149,19.1,19.5
asd_Flusberg_060406,436,693,0.386,3.156,4.238,0.214,0.16,16.3,22.4
asd_Flusberg_060522,278,534,0.342,2.651,3.775,0.255,0.162,13.8,20.1
asd_Flusberg_060622,506,764,0.398,2.87,4.929,0.236,0.127,15.8,25.5
asd_Flusberg_060818,416,841,0.331,2.363,3.455,0.256,0.139,12.1,18.2
asd_Flusberg_060819,470,606,0.437,3.204,4.85,0.24,0.17,16.3,24.9
asd_Flusberg_060900,262,485,0.351,2.0,4.598,0.319,0.164,10.9,24.0
asd_Flusberg_070013,275,398,0.409,3.025,4.342,0.237,0.185,15.6,22.6
asd_Flusberg_070101,368,608,0.377,3.101,5.173,0.294,0.153,16.4,27.0
asd_Flusberg_070106,295,671,0.305,2.01,4.358,0.369,0.145,11.1,22.6
asd_Flusberg_070215,284,631,0.31,2.739,4.152,0.303,0.156,14.8,22.0
asd_Flusberg_070301,426,613,0.41,3.061,5.254,0.239,0.156,15.8,27.3
asd_Flusberg_070315,210,600,0.259,2.357,3.68,0.301,0.138,12.8,19.6
asd_Flusberg_070503,211,542,0.28,3.147,4.148,0.27,0.143,16.1,21.8
asd_Flusberg_070516,376,789,0.323,2.652,4.19,0.257,0.144,14.6,22.2
asd_Flusberg_070517,287,350,0.451,3.679,5.52,0.247,0.197,19.0,28.8
asd_Flusberg_070700,264,541,0.328,1.383,3.917,0.46,0.193,8.0,20.4
asd_Flusberg_071001,328,891,0.269,1.887,3.837,0.258,0.113,9.7,19.7
asd_Flusberg_080012,422,763,0.356,2.884,4.716,0.247,0.14,16.9,25.1
asd_Flusberg_080121,247,390,0.388,2.721,5.692,0.324,0.183,15.3,30.5
asd_Flusberg_080221,406,653,0.383,2.458,3.891,0.268,0.159,13.8,20.1
asd_Flusberg_080506,355,672,0.346,2.279,4.467,0.32,0.163,12.9,24.2
asd_Flusberg_080808,189,446,0.298,2.481,5.395,0.352,0.178,14.5,29.6
asd_Flusberg_090126,281,806,0.259,1.772,3.476,0.331,0.145,9.7,18.3
asd_Flusberg_090320,365,774,0.32,1.627,3.663,0.379,0.157,9.6,19.5
asd_Flusberg_090818,339,765,0.307,1.743,3.957,0.365,0.155,9.5,20.6
asd_Nadig_101,77,214,0.265,2.584,5.729,0.452,0.242,12.5,29.2
asd_Nadig_103,76,154,0.33,2.605,5.532,0.379,0.32,13.3,28.6
asd_Nadig_109,81,161,0.335,3.58,5.739,0.445,0.29,18.2,29.0
asd_Nadig_117,125,212,0.371,3.128,5.566,0.366,0.253,16.4,27.9
asd_Nadig_121,105,199,0.345,2.924,6.231,0.407,0.228,16.2,31.5
asd_Nadig_123,108,214,0.335,3.046,6.215,0.438,0.25,16.0,31.9
asd_Nadig_124,87,197,0.306,2.08,3.995,0.53,0.273,12.1,20.9
asd_Nadig_125,147,255,0.366,1.367,3.478,0.348,0.254,8.0,18.0
asd_Nadig_126,95,228,0.294,1.358,3.825,0.38,0.222,8.6,19.8
asd_Nadig_132,113,162,0.411,3.646,5.012,0.371,0.289,17.9,25.2
asd_Nadig_135,98,147,0.4,3.684,4.687,0.324,0.253,19.6,25.0
asd_Nadig_139,92,161,0.364,2.185,5.851,0.398,0.235,11.3,29.3
asd_Nadig_141,100,167,0.375,2.56,4.563,0.418,0.316,13.9,23.4
asd_Nadig_143,131,183,0.417,3.893,4.137,0.296,0.32,19.3,20.8
asd_Nadig_149,105,240,0.304,1.933,5.192,0.365,0.226,10.4,26.9
asd_Nadig_157,139,172,0.447,2.209,3.878,0.267,0.303,10.6,20.1
asd_Rollins_020200,203,373,0.352,0.384,2.646,0.026,0.184,4.3,14.7
asd_Rollins_020600,255,424,0.376,0.451,2.316,0.087,0.124,4.5,12.3
asd_Rollins_021000,143,248,0.366,0.273,2.641,0.205,0.148,4.1,13.9
asd_Rollins_021100,116,240,0.326,0.862,2.729,0.24,0.208,6.2,14.2
asd_Rollins_030000,132,168,0.44,1.371,3.56,0.298,0.294,8.8,18.6
asd_Rollins_030200,242,313,0.436,0.281,2.412,0.059,0.258,3.7,12.8
asd_Rollins_030300,247,508,0.327,0.441,2.427,0.174,0.172,4.4,13.0
asd_Rollins_030500,208,406,0.339,1.048,3.818,0.275,0.232,6.4,20.1
asd_Rollins_030600,240,530,0.312,0.825,3.123,0.197,0.155,5.5,15.7
asd_Rollins_030800,268,470,0.363,1.299,2.591,0.167,0.198,7.1,13.5
asd_Rollins_031100,386,632,0.379,1.008,2.579,0.247,0.194,7.4,14.8
